Название,Пищевая ценность,Натуральность,Безопасность,Качество,Ссылка,Рейтинг
Йогурт «Агуша» с персиком,9.3,5.7,9.5,8.8,https://roscontrol.com/product/yogurt-agusha-s-persikom/,8.3
"«Активиа» термостатная 3,5%",7.7,6.5,8.0,9.2,https://roscontrol.com/product/bioioghurt-aktivia-tiermostatnaia-3-5/,7.8
Йогурт греческий Teos,7.5,8.5,8.7,6.0,https://roscontrol.com/product/yogurt-grecheskiy-teos/,7.7
«Савушкин» «Греческий Teos» с наполнителем черника,7.5,8.5,8.7,6.0,https://roscontrol.com/product/savushkin-grecheskiy-teos-s-napolnitelem-chernika/,7.7
Йогурт Danone «Активиа» с клубникой и земляникой,10.0,3.7,9.7,6.3,https://roscontrol.com/product/yogurt-danone-aktivia-s-klubnikoy-i-zemlyanikoy/,7.4
Йогурт «Свежее Завтра»,8.9,3.7,9.7,6.9,https://roscontrol.com/product/yogurt-svegee-zavtra/,7.3
Йогурт «Асеньевская ферма»,7.8,7.0,9.0,5.4,https://roscontrol.com/product/yogurt-asenevskaya-ferma/,7.3
Биойогурт «Слобода» с персиком,8.0,5.3,9.4,6.3,https://roscontrol.com/product/bioyogurt-sloboda-1/,7.3
Биойогурт «Эковакино» с персиком,8.0,6.2,8.4,6.0,https://roscontrol.com/product/yogurt-ekovakino-s-persikom/,7.2
Йогурт Valio с персиком,8.8,4.2,7.5,7.8,https://roscontrol.com/product/yogurt-valio-s-persikom/,7.1
